title,datetime,link
Canada Digital Adoption Program (CDAP) | Official site,2024-06-10 03:22:11.430486,news.google.com/articles/CBMiY2h0dHBzOi8vaXNlZC1pc2RlLmNhbmFkYS5jYS9zaXRlL2NhbmFkYS1kaWdpdGFsLWFkb3B0aW9uLXByb2dyYW0vZW4vY2FuYWRhLWRpZ2l0YWwtYWRvcHRpb24tcHJvZ3JhbdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
Government of Canada launches second stream of funding to support improved access to oral health care,2024-06-10 03:22:11.448018,news.google.com/articles/CBMingFodHRwczovL3d3dy5jYW5hZGEuY2EvZW4vaGVhbHRoLWNhbmFkYS9uZXdzLzIwMjQvMDYvZ292ZXJubWVudC1vZi1jYW5hZGEtbGF1bmNoZXMtc2Vjb25kLXN0cmVhbS1vZi1mdW5kaW5nLXRvLXN1cHBvcnQtaW1wcm92ZWQtYWNjZXNzLXRvLW9yYWwtaGVhbHRoLWNhcmUuaHRtbNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
Canada's Parliament rocked by allegations of treason,2024-06-10 03:22:11.448018,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjQvMDYvMTAvY2FuYWRhLXBhcmxpYW1lbnQtdHJlYXNvbi1hbGxlZ2F0aW9ucy0wMDE2MjE2M9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Tentative agreement reached for more than 9000 workers at Canada Border Services Agency, strike action averted",2024-06-11 03:22:11.448018,news.google.com/articles/CBMiQmh0dHBzOi8vcHNhY3VuaW9uLmNhL3RlbnRhdGl2ZS1hZ3JlZW1lbnQtcmVhY2hlZC1tb3JlLTkwMDAtd29ya2Vyc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
U.S. officials discussed hitting Canada with trade sanctions over Quebec's language law,2024-06-11 03:22:11.448018,news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2JpbGwtOTYtY2FuYWRhLXUtcy10cmFkZS0xLjcyMzA1NjLSASBodHRwczovL3d3dy5jYmMuY2EvYW1wLzEuNzIzMDU2Mg?hl=en-CA&gl=CA&ceid=CA%3Aen
The Forks National Historic Site,2024-06-11 03:22:11.448018,news.google.com/articles/CBMiKGh0dHBzOi8vcGFya3MuY2FuYWRhLmNhL2xobi1uaHMvbWIvZm9ya3PSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
ROM Announces Free Admission on Canada Day and the Return of Free Main Floor,2024-06-12 03:22:11.448018,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LnJvbS5vbi5jYS9lbi9hYm91dC11cy9uZXdzcm9vbS9wcmVzcy1yZWxlYXNlcy9yb20tYW5ub3VuY2VzLWZyZWUtYWRtaXNzaW9uLW9uLWNhbmFkYS1kYXktYW5kLXRoZS1yZXR1cm4tb2YtZnJlZdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
Rate cuts won’t spur immediate rebound in Canada’s economy,2024-06-12 03:22:11.448018,news.google.com/articles/CBMiW2h0dHBzOi8vdGhvdWdodGxlYWRlcnNoaXAucmJjLmNvbS9yYXRlLWN1dHMtd29udC1zcHVyLWltbWVkaWF0ZS1yZWJvdW5kLWluLWNhbmFkYXMtZWNvbm9teS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Canada's U20 Women's Rugby Team to play England, Wales and the USA this July",2024-06-12 03:22:11.448018,news.google.com/articles/CBMibGh0dHBzOi8vcnVnYnkuY2EvZW4vbmV3cy8yMDI0LzA2L2NhbmFkYS1zLXUyMC13b21lbi1zLXJ1Z2J5LXRlYW0tdG8tcGxheS1lbmdsYW5kLXdhbGVzLWFuZC10aGUtdXNhLXRoaXMtanVsedIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
Canada Cup,2024-06-12 03:22:11.448018,news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LnN1cnJleS5jYS9uZXdzLWV2ZW50cy9ldmVudHMvY2FuYWRhLWN1cNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
