neg,neu,pos,compound,datetime
0.0,1.0,0.0,0.0,2024-06-10 03:22:11.430486
0.0,0.591,0.409,0.8402,2024-06-10 03:22:11.448018
0.326,0.674,0.0,-0.4404,2024-06-10 03:22:11.448018
0.144,0.619,0.237,0.4215,2024-06-11 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-11 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-11 03:22:11.448018
0.216,0.784,0.0,-0.296,2024-06-12 03:22:11.448018
0.0,0.645,0.355,0.765,2024-06-12 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-12 03:22:11.448018
0.0,0.844,0.156,0.34,2024-06-12 03:22:11.448018
0.429,0.571,0.0,-0.8176,2024-06-13 03:22:11.430486
0.0,0.793,0.207,0.5267,2024-06-14 03:22:11.446971
0.0,0.885,0.115,0.0772,2024-06-14 03:22:11.446971
0.0,1.0,0.0,0.0,2024-06-14 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-14 03:22:11.448018
0.255,0.559,0.186,-0.2732,2024-06-14 03:22:11.448018
0.287,0.632,0.08,-0.5574,2024-06-16 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-17 03:22:11.448018
0.26,0.534,0.206,-0.1779,2024-06-17 03:22:11.448018
0.306,0.694,0.0,-0.296,2024-06-17 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-17 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-18 03:22:11.446278
0.218,0.782,0.0,-0.5994,2024-06-18 03:22:11.446278
0.0,1.0,0.0,0.0,2024-06-18 03:22:11.448018
0.0,0.815,0.185,0.5267,2024-06-18 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-18 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-18 03:22:11.448018
0.0,0.769,0.231,0.5574,2024-06-18 03:22:11.448018
0.0,0.816,0.184,0.4019,2024-06-18 03:22:11.448018
0.0,0.729,0.271,0.3818,2024-06-19 03:22:11.430486
0.0,1.0,0.0,0.0,2024-06-19 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-19 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-19 03:22:11.448018
0.0,0.536,0.464,0.3818,2024-06-19 03:22:11.448018
0.0,0.69,0.31,0.2023,2024-06-20 03:22:11.430486
0.0,1.0,0.0,0.0,2024-06-20 03:22:11.448018
0.0,0.726,0.274,0.5267,2024-06-20 03:22:33.160976
0.0,0.545,0.455,0.3612,2024-06-20 03:22:33.160976
0.0,1.0,0.0,0.0,2024-06-20 03:22:33.176606
0.0,0.844,0.156,0.34,2024-06-20 03:22:33.177591
0.0,0.865,0.135,0.4215,2024-06-20 03:22:33.177591
0.0,0.654,0.346,0.5719,2024-06-20 03:22:33.177591
0.192,0.808,0.0,-0.2263,2024-06-20 03:22:33.177591
0.0,0.795,0.205,0.4767,2024-06-20 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-20 03:22:33.177591
0.267,0.571,0.162,-0.2732,2024-06-20 03:22:33.177591
0.0,0.748,0.252,0.4019,2024-06-20 03:22:33.177591
0.13,0.87,0.0,-0.2732,2024-06-21 03:22:11.430486
0.0,1.0,0.0,0.0,2024-06-21 03:22:11.430486
0.0,1.0,0.0,0.0,2024-06-21 03:22:11.446113
0.0,1.0,0.0,0.0,2024-06-21 03:22:11.446971
0.0,1.0,0.0,0.0,2024-06-21 03:22:11.448018
0.0,0.526,0.474,0.5574,2024-06-21 03:22:33.160976
0.0,1.0,0.0,0.0,2024-06-21 03:22:33.160976
0.189,0.811,0.0,-0.1027,2024-06-21 03:22:33.176606
0.231,0.769,0.0,-0.34,2024-06-21 03:22:33.177591
0.0,0.759,0.241,0.5859,2024-06-21 03:22:33.177591
0.327,0.673,0.0,-0.5267,2024-06-21 03:22:33.177591
0.406,0.594,0.0,-0.6249,2024-06-21 03:22:33.177591
0.2,0.8,0.0,-0.25,2024-06-21 03:22:33.177591
0.157,0.542,0.301,0.34,2024-06-21 03:22:33.177591
0.176,0.676,0.149,-0.1027,2024-06-21 03:22:33.177591
0.526,0.474,0.0,-0.902,2024-06-21 03:22:33.177591
0.231,0.769,0.0,-0.4019,2024-06-22 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-22 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-23 03:22:33.177591
0.252,0.748,0.0,-0.5719,2024-06-23 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-23 03:22:33.177591
0.388,0.612,0.0,-0.4215,2024-06-23 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-24 03:22:33.160976
0.0,0.815,0.185,0.5267,2024-06-24 03:22:33.160976
0.0,0.805,0.195,0.5267,2024-06-24 03:22:33.176946
0.0,0.536,0.464,0.3818,2024-06-24 03:22:33.176946
0.0,0.769,0.231,0.5994,2024-06-24 03:22:33.177591
0.0,0.891,0.109,0.0258,2024-06-24 03:22:33.177591
0.0,0.833,0.167,0.34,2024-06-24 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-24 03:22:33.177591
0.165,0.63,0.205,0.128,2024-06-24 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-24 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-25 03:22:11.448018
0.0,0.645,0.355,0.5106,2024-06-25 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-25 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-25 03:22:33.176946
0.0,1.0,0.0,0.0,2024-06-25 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-25 03:22:33.177591
0.0,0.715,0.285,0.6114,2024-06-25 03:22:33.177591
0.415,0.45,0.135,-0.6808,2024-06-25 03:22:33.177591
0.193,0.807,0.0,-0.4767,2024-06-25 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-25 03:22:33.177591
0.103,0.69,0.207,0.296,2024-06-25 03:22:33.177591
0.0,0.622,0.378,0.7712,2024-06-25 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-25 03:22:33.177591
0.224,0.776,0.0,-0.3818,2024-06-25 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-25 03:22:41.661696
0.098,0.902,0.0,-0.0516,2024-06-25 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-26 03:22:11.448018
0.0,0.746,0.254,0.6249,2024-06-26 03:22:33.176946
0.0,1.0,0.0,0.0,2024-06-26 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-26 03:22:33.177591
0.218,0.782,0.0,-0.5994,2024-06-26 03:22:33.177591
0.167,0.833,0.0,-0.296,2024-06-26 03:22:33.177591
0.0,0.764,0.236,0.5719,2024-06-26 03:22:33.177591
0.268,0.549,0.183,-0.1027,2024-06-26 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-26 03:22:33.177591
0.0,0.741,0.259,0.4215,2024-06-26 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-26 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-26 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-26 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-26 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-26 03:22:41.677606
0.0,0.417,0.583,0.7906,2024-06-26 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-26 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-27 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-27 03:22:33.177591
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.676442
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.677606
0.154,0.846,0.0,-0.25,2024-06-27 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.677606
0.369,0.503,0.128,-0.6486,2024-06-27 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.677606
0.149,0.851,0.0,-0.2732,2024-06-27 03:22:41.677606
0.213,0.787,0.0,-0.2263,2024-06-27 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-27 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.661696
0.375,0.625,0.0,-0.6597,2024-06-28 03:22:41.661696
0.0,0.697,0.303,0.7269,2024-06-28 03:22:41.661696
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.661696
0.333,0.667,0.0,-0.25,2024-06-28 03:22:41.676442
0.0,0.8,0.2,0.25,2024-06-28 03:22:41.677479
0.0,0.526,0.474,0.5574,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.73,0.27,0.5719,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.798,0.202,0.5859,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.839,0.161,0.3612,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.732,0.268,0.5106,2024-06-28 03:22:41.677606
0.22,0.78,0.0,-0.4767,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.127,0.873,0.0,-0.1531,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.684,0.316,0.5719,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.693,0.307,0.4767,2024-06-28 03:22:41.677606
0.231,0.769,0.0,-0.383,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-28 03:22:41.677606
0.0,0.714,0.286,0.5574,2024-06-28 03:22:41.677606
0.0,1.0,0.0,0.0,2024-06-29 03:22:11.448018
0.0,1.0,0.0,0.0,2024-06-29 10:22:22.271403
0.279,0.61,0.111,-0.4149,2024-06-29 10:22:41.677606
0.0,1.0,0.0,0.0,2024-06-29 11:22:41.677606
0.0,1.0,0.0,0.0,2024-06-29 11:22:41.677606
0.0,0.494,0.506,0.9231,2024-06-29 13:22:41.677606
0.0,0.69,0.31,0.2023,2024-06-29 14:22:22.259078
0.0,0.67,0.33,0.8126,2024-06-29 15:22:22.271403
0.0,1.0,0.0,0.0,2024-06-29 16:22:22.271403
0.0,1.0,0.0,0.0,2024-06-29 17:22:22.271403
0.13,0.87,0.0,-0.128,2024-06-29 17:22:41.677606
0.0,0.68,0.32,0.5106,2024-06-29 18:22:22.259078
0.0,0.734,0.266,0.4404,2024-06-29 18:22:22.271403
0.18,0.82,0.0,-0.296,2024-06-29 19:22:22.271403
0.0,0.769,0.231,0.4019,2024-06-29 19:22:22.271403
0.0,1.0,0.0,0.0,2024-06-29 19:22:22.271403
0.0,1.0,0.0,0.0,2024-06-29 20:22:22.271403
0.0,0.488,0.512,0.743,2024-06-29 20:22:22.271403
0.0,0.462,0.538,0.7906,2024-06-29 20:22:22.271403
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.834605
0.267,0.476,0.257,-0.0258,2024-06-29 21:00:13.834605
0.0,0.803,0.197,0.4019,2024-06-29 21:00:13.835118
0.0,0.742,0.258,0.4824,2024-06-29 21:00:13.835632
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.836657
0.0,0.845,0.155,0.0258,2024-06-29 21:00:13.836657
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.837169
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.837169
0.0,0.793,0.207,0.5251,2024-06-29 21:00:13.837683
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.837683
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.837683
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.838692
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.838692
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.838692
0.0,1.0,0.0,0.0,2024-06-29 21:00:13.838692
0.0,0.769,0.231,0.4019,2024-06-29 21:00:13.838692
