neg,neu,pos,compound,datetime
0.16,0.84,0.0,-0.2732,2024-06-01 18:13:01.178647
0.0,1.0,0.0,0.0,2024-06-03 18:13:01.168913
0.0,0.769,0.231,0.2023,2024-06-03 18:13:01.168913
0.0,1.0,0.0,0.0,2024-06-03 18:13:01.168913
0.15,0.85,0.0,-0.3182,2024-06-03 18:13:01.168913
0.0,0.795,0.205,0.2023,2024-06-03 18:13:01.174037
0.0,1.0,0.0,0.0,2024-06-03 18:13:01.174037
0.0,0.827,0.173,0.3182,2024-06-03 18:13:01.174037
0.0,0.863,0.137,0.4019,2024-06-03 18:13:01.178647
0.0,1.0,0.0,0.0,2024-06-03 18:13:01.178647
0.0,0.692,0.308,0.4588,2024-06-04 18:13:01.168757
0.0,1.0,0.0,0.0,2024-06-04 18:13:01.168913
0.0,1.0,0.0,0.0,2024-06-04 18:13:01.174037
0.0,1.0,0.0,0.0,2024-06-04 18:13:01.174037
0.0,0.391,0.609,0.8316,2024-06-04 18:13:01.174037
0.0,0.728,0.272,0.4767,2024-06-04 18:13:01.174037
0.0,0.777,0.223,0.3182,2024-06-04 18:13:01.174037
0.0,0.493,0.507,0.7351,2024-06-04 18:13:01.178647
0.0,1.0,0.0,0.0,2024-06-04 18:13:01.178647
0.251,0.618,0.131,-0.3716,2024-06-05 18:13:01.168913
0.0,0.914,0.086,0.1779,2024-06-05 18:13:01.168913
0.0,0.803,0.197,0.4019,2024-06-05 18:13:01.174037
0.0,1.0,0.0,0.0,2024-06-05 18:13:01.174037
0.0,1.0,0.0,0.0,2024-06-05 18:13:01.174037
0.0,1.0,0.0,0.0,2024-06-05 18:13:01.174037
0.0,0.777,0.223,0.3182,2024-06-05 18:13:01.178647
0.0,0.714,0.286,0.34,2024-06-05 18:13:01.178647
0.107,0.893,0.0,-0.34,2024-06-05 18:13:01.178647
0.307,0.455,0.239,-0.1531,2024-06-05 18:13:01.178647
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.593704
0.0,0.776,0.224,0.3818,2024-06-06 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.600323
0.0,0.649,0.351,0.6597,2024-06-06 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-06 18:13:16.600323
0.0,0.783,0.217,0.3612,2024-06-06 18:13:16.600323
0.0,0.707,0.293,0.4404,2024-06-06 18:13:16.600323
0.0,0.758,0.242,0.4939,2024-06-07 18:13:16.593704
0.0,0.714,0.286,0.4588,2024-06-07 18:13:16.593704
0.0,0.682,0.318,0.4215,2024-06-07 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-07 18:13:16.593704
0.0,0.815,0.185,0.3612,2024-06-07 18:13:16.598820
0.0,0.761,0.239,0.5719,2024-06-07 18:13:16.598820
0.0,1.0,0.0,0.0,2024-06-07 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-07 18:13:16.607946
0.0,1.0,0.0,0.0,2024-06-08 18:13:16.598820
0.0,1.0,0.0,0.0,2024-06-08 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-08 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-08 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-09 18:13:16.593704
0.0,0.733,0.267,0.4588,2024-06-09 18:13:16.600323
0.0,0.719,0.281,0.5719,2024-06-09 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-09 18:13:16.600323
0.0,0.651,0.349,0.7096,2024-06-09 18:13:16.607946
0.0,0.776,0.224,0.3818,2024-06-10 18:13:01.174037
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.598820
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.598820
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.600323
0.0,0.795,0.205,0.2023,2024-06-10 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.600323
0.0,0.769,0.231,0.34,2024-06-10 18:13:16.600323
0.0,0.748,0.252,0.5719,2024-06-10 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.600323
0.0,0.775,0.225,0.4939,2024-06-10 18:13:16.607946
0.0,1.0,0.0,0.0,2024-06-10 18:13:16.609062
0.0,1.0,0.0,0.0,2024-06-11 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-11 18:13:16.593704
0.0,0.855,0.145,0.1779,2024-06-11 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-11 18:13:16.593704
0.287,0.713,0.0,-0.3875,2024-06-11 18:13:16.593704
0.0,0.619,0.381,0.5106,2024-06-11 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-11 18:13:16.598820
0.0,0.759,0.241,0.2263,2024-06-11 18:13:16.600323
0.0,0.714,0.286,0.4215,2024-06-11 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-11 18:13:16.600323
0.0,0.806,0.194,0.34,2024-06-11 18:13:16.600323
0.135,0.725,0.14,0.0258,2024-06-11 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-11 18:13:16.607946
0.314,0.686,0.0,-0.4939,2024-06-11 18:13:16.609062
0.369,0.631,0.0,-0.4767,2024-06-12 18:13:16.593704
0.0,0.897,0.103,0.0387,2024-06-12 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-12 18:13:16.593704
0.0,1.0,0.0,0.0,2024-06-12 18:13:16.600323
0.0,0.621,0.379,0.6705,2024-06-12 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-12 18:13:16.600323
0.0,0.777,0.223,0.3182,2024-06-12 18:13:16.600323
0.0,1.0,0.0,0.0,2024-06-12 18:13:16.600323
0.271,0.729,0.0,-0.3818,2024-06-12 18:13:16.607946
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,0.815,0.185,0.3612,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,0.732,0.268,0.296,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,0.451,0.549,0.8074,2024-06-13 14:15:06.707990
0.0,0.84,0.16,0.2732,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.707990
0.0,0.706,0.294,0.3612,2024-06-13 14:15:06.718936
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.718936
0.327,0.673,0.0,-0.5267,2024-06-13 14:15:06.718936
0.0,1.0,0.0,0.0,2024-06-13 14:15:06.718936
