neg,neu,pos,compound,datetime
0.236,0.764,0.0,-0.5267,2024-06-10 02:31:35.620916
0.104,0.896,0.0,-0.1027,2024-06-10 02:31:35.628457
0.5,0.5,0.0,-0.4588,2024-06-10 02:31:35.632474
0.394,0.606,0.0,-0.3818,2024-06-11 02:31:35.619823
0.162,0.838,0.0,-0.4019,2024-06-11 02:31:35.619823
0.173,0.827,0.0,-0.3182,2024-06-11 02:31:35.620916
0.4,0.6,0.0,-0.7184,2024-06-11 02:31:35.622950
0.231,0.769,0.0,-0.5574,2024-06-11 02:31:35.626457
0.457,0.543,0.0,-0.8126,2024-06-11 02:31:35.634474
0.286,0.714,0.0,-0.5574,2024-06-13 02:35:54.615452
0.167,0.833,0.0,-0.34,2024-06-13 02:35:54.615452
0.0,1.0,0.0,0.0,2024-06-18 02:35:32.214874
0.0,1.0,0.0,0.0,2024-06-18 02:35:32.214874
0.0,1.0,0.0,0.0,2024-06-19 02:31:35.635012
0.0,0.66,0.34,0.3818,2024-06-19 02:35:32.208137
0.0,1.0,0.0,0.0,2024-06-19 02:35:32.214874
0.0,1.0,0.0,0.0,2024-06-19 02:35:32.214874
0.16,0.72,0.12,-0.128,2024-06-19 02:35:54.623573
0.0,1.0,0.0,0.0,2024-06-22 02:35:32.214874
0.0,0.897,0.103,0.128,2024-06-23 02:33:40.723686
0.0,0.877,0.123,0.1027,2024-06-23 02:33:40.728690
0.0,0.882,0.118,0.0516,2024-06-23 02:33:40.728690
0.0,1.0,0.0,0.0,2024-06-23 02:33:40.733749
0.0,1.0,0.0,0.0,2024-06-23 02:33:40.734753
0.154,0.846,0.0,-0.25,2024-06-24 02:33:40.728690
0.0,1.0,0.0,0.0,2024-06-24 02:33:40.728690
0.426,0.574,0.0,-0.836,2024-06-24 02:33:40.728690
0.273,0.727,0.0,-0.6705,2024-06-24 02:33:40.728690
0.385,0.615,0.0,-0.7845,2024-06-24 02:33:40.728690
0.396,0.604,0.0,-0.7096,2024-06-24 02:33:40.733749
0.296,0.704,0.0,-0.7096,2024-06-24 02:33:40.733749
0.396,0.604,0.0,-0.7096,2024-06-24 02:33:40.734753
0.162,0.751,0.087,-0.3182,2024-06-24 02:33:40.734753
0.104,0.896,0.0,-0.1027,2024-06-24 02:35:54.615452
0.281,0.719,0.0,-0.5994,2024-06-25 02:33:10.563936
0.297,0.703,0.0,-0.6705,2024-06-25 02:33:40.728690
0.0,0.885,0.115,0.0772,2024-06-25 02:33:40.728690
0.0,1.0,0.0,0.0,2024-06-25 02:33:40.734753
0.0,1.0,0.0,0.0,2024-06-25 02:33:40.734753
0.0,1.0,0.0,0.0,2024-06-25 02:33:40.734753
0.0,0.75,0.25,0.4588,2024-06-25 02:33:40.734753
0.0,1.0,0.0,0.0,2024-06-26 02:33:10.563936
0.0,1.0,0.0,0.0,2024-06-26 02:36:32.253229
0.0,0.678,0.322,0.5859,2024-06-26 02:36:32.258231
0.0,1.0,0.0,0.0,2024-06-26 15:09:24.892150
0.153,0.657,0.19,0.128,2024-06-26 15:09:24.892150
0.0,0.652,0.348,0.4939,2024-06-26 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-26 15:09:24.892150
0.0,0.625,0.375,0.6369,2024-06-26 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-26 15:09:24.892150
0.171,0.543,0.287,0.3612,2024-06-26 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-26 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-26 15:09:24.901968
0.146,0.854,0.0,-0.34,2024-06-27 02:32:00.405487
0.0,1.0,0.0,0.0,2024-06-27 02:32:00.405487
0.0,1.0,0.0,0.0,2024-06-27 02:33:10.573674
0.0,1.0,0.0,0.0,2024-06-27 02:33:10.574423
0.103,0.897,0.0,-0.128,2024-06-27 02:33:40.733749
0.0,0.61,0.39,0.7506,2024-06-27 02:36:32.248115
0.0,1.0,0.0,0.0,2024-06-27 02:36:32.253229
0.0,0.775,0.225,0.4404,2024-06-27 02:36:32.253229
0.0,0.73,0.27,0.5719,2024-06-27 02:36:32.253229
0.37,0.63,0.0,-0.5719,2024-06-27 02:36:32.258231
0.0,0.741,0.259,0.5423,2024-06-27 02:36:32.258231
0.0,1.0,0.0,0.0,2024-06-27 15:09:24.881955
0.192,0.808,0.0,-0.2263,2024-06-27 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-27 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-27 15:09:24.892150
0.0,0.82,0.18,0.296,2024-06-27 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-27 15:09:24.892150
0.0,0.863,0.137,0.4019,2024-06-27 15:09:24.892150
0.146,0.854,0.0,-0.0516,2024-06-27 15:09:24.892150
0.379,0.621,0.0,-0.7717,2024-06-28 02:32:00.399358
0.0,1.0,0.0,0.0,2024-06-28 02:32:00.404473
0.133,0.867,0.0,-0.25,2024-06-28 02:32:00.405487
0.148,0.741,0.111,-0.128,2024-06-28 02:33:10.563936
0.216,0.784,0.0,-0.5106,2024-06-28 02:36:32.248115
0.0,1.0,0.0,0.0,2024-06-28 02:36:32.253229
0.0,0.753,0.247,0.5574,2024-06-28 02:36:32.253229
0.0,0.748,0.252,0.4019,2024-06-28 02:36:32.253229
0.0,1.0,0.0,0.0,2024-06-28 02:36:32.253229
0.0,1.0,0.0,0.0,2024-06-28 02:36:32.253229
0.0,1.0,0.0,0.0,2024-06-28 02:36:32.258231
0.0,0.823,0.177,0.4215,2024-06-28 02:36:32.258231
0.0,0.859,0.141,0.2023,2024-06-28 02:36:32.258231
0.0,1.0,0.0,0.0,2024-06-28 02:36:32.258231
0.0,1.0,0.0,0.0,2024-06-28 15:09:24.892150
0.167,0.833,0.0,-0.1027,2024-06-28 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-28 15:09:24.892150
0.435,0.565,0.0,-0.6597,2024-06-28 15:09:24.892150
0.36,0.64,0.0,-0.6705,2024-06-28 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-28 15:09:24.892150
0.239,0.761,0.0,-0.296,2024-06-28 15:20:01.526867
0.19,0.556,0.254,0.2023,2024-06-28 15:20:01.526867
0.0,0.676,0.324,0.5859,2024-06-28 15:20:01.534156
0.0,1.0,0.0,0.0,2024-06-28 15:20:01.536761
0.0,0.787,0.213,0.4019,2024-06-28 15:20:01.536761
0.0,0.889,0.111,0.128,2024-06-28 15:20:01.536761
0.0,1.0,0.0,0.0,2024-06-29 04:31:10.731546
0.218,0.672,0.11,-0.4475,2024-06-29 07:31:10.724478
0.0,1.0,0.0,0.0,2024-06-29 08:31:10.724478
0.0,1.0,0.0,0.0,2024-06-29 09:31:10.729491
0.0,1.0,0.0,0.0,2024-06-29 11:32:00.405487
0.223,0.777,0.0,-0.3182,2024-06-29 12:31:10.731546
0.0,1.0,0.0,0.0,2024-06-29 13:31:10.722848
0.0,1.0,0.0,0.0,2024-06-29 13:31:10.731546
0.0,1.0,0.0,0.0,2024-06-29 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-29 15:09:24.892150
0.0,1.0,0.0,0.0,2024-06-29 15:20:01.526867
0.0,0.704,0.296,0.6369,2024-06-29 15:20:01.534156
0.0,0.727,0.273,0.5423,2024-06-29 15:20:01.536761
0.0,1.0,0.0,0.0,2024-06-29 17:31:10.724478
0.0,1.0,0.0,0.0,2024-06-29 17:31:10.731546
0.0,1.0,0.0,0.0,2024-06-29 18:31:10.724478
0.0,1.0,0.0,0.0,2024-06-29 18:31:10.724478
0.351,0.649,0.0,-0.4019,2024-06-29 18:31:10.729491
0.217,0.783,0.0,-0.3612,2024-06-29 19:30:48.454461
0.487,0.513,0.0,-0.8591,2024-06-29 19:30:48.460778
0.416,0.584,0.0,-0.6908,2024-06-29 19:31:10.715713
0.0,1.0,0.0,0.0,2024-06-29 19:31:10.715713
0.281,0.719,0.0,-0.5994,2024-06-29 19:31:10.724478
0.0,1.0,0.0,0.0,2024-06-29 19:31:10.729491
0.172,0.828,0.0,-0.4019,2024-06-29 19:36:32.243111
0.15,0.539,0.311,0.4019,2024-06-29 20:31:10.722848
0.15,0.7,0.15,0.0,2024-06-29 20:31:10.724478
0.522,0.478,0.0,-0.9337,2024-06-29 20:31:10.729491
0.0,0.758,0.242,0.4939,2024-06-29 20:31:10.729491
0.0,1.0,0.0,0.0,2024-06-29 20:31:10.731546
0.061,0.714,0.225,0.6808,2024-06-29 20:31:10.731546
0.0,0.667,0.333,0.3612,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,0.595,0.405,0.8176,2024-06-29 21:00:25.079080
0.31,0.69,0.0,-0.4019,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,0.731,0.269,0.7096,2024-06-29 21:00:25.079080
0.145,0.777,0.078,-0.3182,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,0.825,0.175,0.1779,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
0.0,0.606,0.394,0.3818,2024-06-29 21:00:25.079080
0.161,0.839,0.0,-0.2755,2024-06-29 21:00:25.079080
0.0,0.752,0.248,0.5106,2024-06-29 21:00:25.079080
0.0,1.0,0.0,0.0,2024-06-29 21:00:25.079080
