title,compound,datetime
North Korea sends more rubbish balloons to South after Kim sister’s threat,-0.5267,2024-06-10 02:31:35.620916
North Korea sends more trash balloons as Kim’s sister warns of ‘new counteraction’,-0.1027,2024-06-10 02:31:35.628457
North Korea balloon offensive,-0.4588,2024-06-10 02:31:35.632474
South Korea Still Blocking Abortion,-0.3818,2024-06-11 02:31:35.619823
All you need to know about the rising tensions between the North and South Korea,-0.4019,2024-06-11 02:31:35.619823
North Korea sending trash balloons again as tension grows with South Korea,-0.3182,2024-06-11 02:31:35.620916
S Korea says it fired warning shots after N Korean soldiers crossed border,-0.7184,2024-06-11 02:31:35.622950
South Korea says it fired ‘warning shots’ after North Korean soldiers crossed border,-0.5574,2024-06-11 02:31:35.626457
"South Korea fired warning shots after North’s troops accidentally crossed border, Seoul says",-0.8126,2024-06-11 02:31:35.634474
South Korea gym ban on 'aunties' sparks an ageism row,-0.5574,2024-06-13 02:35:54.615452
"South Korea, US sound alarm over North Korea-Russia ties ahead of Putin visit",-0.34,2024-06-13 02:35:54.615452
Vladimir Putin calls for co-operation with North Korea to resist western sanctions,0.0,2024-06-18 02:35:32.214874
Russia’s Putin arrives in North Korea for rare trip as anti-West alignment deepens,0.0,2024-06-18 02:35:32.214874
Putin to travel to North Korea for 1st trip in 24 years,0.0,2024-06-19 02:31:35.635012
"North Korea, Russia pledge mutual defense, surprising many observers",0.3818,2024-06-19 02:35:32.208137
The story behind South Korea’s spicy Buldak ramyeon noodles,0.0,2024-06-19 02:35:32.214874
"Russia and North Korea solidify partnership, vowing mutual assistance against 'aggression'",0.0,2024-06-19 02:35:32.214874
Russia Struck a Defense Pact With North Korea. What Does It Mean?,-0.128,2024-06-19 02:35:54.623573
U.S. aircraft carrier shows force against North Korea,0.0,2024-06-22 02:35:32.214874
Russia and North Korea signed a defense pact with each other. What does this mean?,0.128,2024-06-23 02:33:40.723686
"EU seeks defence industry partnerships with Japan, South Korea, says Nikkei",0.1027,2024-06-23 02:33:40.728690
Korea Box Office: ‘Inside Out 2’ Dominates on Second Weekend,0.0516,2024-06-23 02:33:40.728690
South Korea’s Ancient Tradition Revived with Social Media,0.0,2024-06-23 02:33:40.733749
South Korea's Rise as a Global Shipbuilder,0.0,2024-06-23 02:33:40.734753
From Reluctant Enforcer to Outright Saboteur: Russia's Crusade Against North Korea Sanctions,-0.25,2024-06-24 02:33:40.728690
"Hello Kitty, parasites: inside North Korea trash balloons according to South",0.0,2024-06-24 02:33:40.728690
At Least 16 Dead And 6 Missing After Fire At Lithium Battery Plant In South Korea,-0.836,2024-06-24 02:33:40.728690
"South Korean rescuers search burned factory after a blaze killed 22, mostly Chinese migrants",-0.6705,2024-06-24 02:33:40.728690
"At Least 20 Killed in South Korea Lithium Battery Plant Fire, Yonhap Says",-0.7845,2024-06-24 02:33:40.728690
South Korea plant fire kills 22 people after lithium battery combustion,-0.7096,2024-06-24 02:33:40.733749
"Fire at South Korea battery factory kills more than 20 workers in Hwaseong city, near Seoul",-0.7096,2024-06-24 02:33:40.733749
Fire at Lithium-Battery Factory Kills at Least 22 in South Korea,-0.7096,2024-06-24 02:33:40.734753
US aircraft carrier arrives in South Korea as Russia-North Korea defense pact deepens regional fears,-0.3182,2024-06-24 02:33:40.734753
North Korea Sends More Trash Balloons Over Border as South Warns of Parasites,-0.1027,2024-06-24 02:35:54.615452
South Korea NGO files case against Israel for Gaza war crimes,-0.5994,2024-06-25 02:33:10.563936
South Korean military says 350 waste balloons detected from North Korea overnight as tensions flare,-0.6705,2024-06-25 02:33:40.728690
‘Axis of impunity’: How Putin-Kim deal could challenge existing world order,0.0772,2024-06-25 02:33:40.728690
"North Korea fires potential hypersonic missile towards sea, South Korea says",0.0,2024-06-25 02:33:40.734753
"North Korea fires a ballistic missile toward sea, South Korea says - World News",0.0,2024-06-25 02:33:40.734753
North Korea Fires Ballistic Missile in a Show of Force After Putin's Visit,0.0,2024-06-25 02:33:40.734753
"Korea's $793bn NPS forms dedicated continuation fund, GP stakes teams",0.4588,2024-06-25 02:33:40.734753
Incheon airport briefly shuts down runways because of North Korea trash balloons,0.0,2024-06-26 02:33:10.563936
"U.S., Japan, South Korea vow strategic cooperation",0.0,2024-06-26 02:36:32.253229
North Korea claims successful test of multiple warhead missile,0.5859,2024-06-26 02:36:32.258231
"The Crunch: AI power drain, balloons across Korea and UK rivers flood with sewage",0.0,2024-06-26 15:09:24.892150
South Korea Plans Fund to Safeguard Supply Chains as Risks Rise,0.128,2024-06-26 15:09:24.892150
N.Korea says successfully tested multiple-warhead missile capability,0.4939,2024-06-26 15:09:24.892150
North Korea's Rural Development: The Houses and Move-in Day,0.0,2024-06-26 15:09:24.892150
The 10 Best Korean BB Creams of 2024,0.6369,2024-06-26 15:09:24.892150
"U.S., Japan and South Korea vow strategic cooperation",0.0,2024-06-26 15:09:24.892150
South Korea Doubts North’s Claim of Multiple Warhead Success,0.3612,2024-06-26 15:09:24.892150
South Korea's SK Bioscience to buy control of Germany's IDT Biologika for $244 mln,0.0,2024-06-26 15:09:24.892150
North Korea resumes launching balloons and missiles after Putin summit,0.0,2024-06-26 15:09:24.901968
South Korea fires warning shots after North Korean soldiers cross border third time in a month,-0.34,2024-06-27 02:32:00.405487
North Korea sends hundreds of more trash-carrying balloons to South Korea,0.0,2024-06-27 02:32:00.405487
South Korea: presidential election voter turnout 1987-2022,0.0,2024-06-27 02:33:10.573674
Fact check: North Korea has not announced plans to send troops to Ukraine — yet,0.0,2024-06-27 02:33:10.574423
"South Korea's exports to rise for ninth month on chip, US demand: Reuters poll",-0.128,2024-06-27 02:33:40.733749
"KRW/USD: Why Extending Trading Hours for Won Could Help Korea's Economy, Bonds",0.7506,2024-06-27 02:36:32.248115
"South Korea: Monthly activity data contracted in May, pointing to a slowdown in current quarter GDP",0.0,2024-06-27 02:36:32.253229
Webtoon: Comics website valued at $2.7bn ahead of US market debut,0.4404,2024-06-27 02:36:32.253229
3XN Wins Competition to Design Chungnam Art Center in South Korea,0.5719,2024-06-27 02:36:32.253229
"Soup broth is damaging South Korea’s highest mountain, warn officials",-0.5719,2024-06-27 02:36:32.258231
Living and Thinking in a Divided Korea – Peace Research Institute Oslo (PRIO),0.5423,2024-06-27 02:36:32.258231
North Korea to deploy engineering troops to Ukraine's occupied territories,0.0,2024-06-27 15:09:24.881955
"South Korea May factory output -1.2% m/m, misses forecast",-0.2263,2024-06-27 15:09:24.892150
"Korean Air plane suddenly drops 26,000 feet, injuring 17 passengers",0.0,2024-06-27 15:09:24.892150
Nuclear for Nuclear? Understanding Divergent South Korean and American Perceptions on Deterring North Korea,0.0,2024-06-27 15:09:24.892150
South Korea's Naver-backed Webtoon shares jump about 14% in Nasdaq debut,0.296,2024-06-27 15:09:24.892150
New Horizons in Korea-U.S.-Japan Trilateral Cooperation,0.0,2024-06-27 15:09:24.892150
Is North Korea sending troops to Ukraine? Where will they be deployed and how can they help russia,0.4019,2024-06-27 15:09:24.892150
South Korea orders first batch of KF-21 fighters,-0.0516,2024-06-27 15:09:24.892150
At least 16 dead in a fire at a lithium battery factory in South Korea,-0.7717,2024-06-28 02:32:00.399358
North Korea sends more balloons filled with trash to South Korea,0.0,2024-06-28 02:32:00.404473
South Korea resumes broadcasting anti-North Korea propaganda at border in response to trash balloons,-0.25,2024-06-28 02:32:00.405487
South Korea summons Russian ambassador to protest defense pact with North Korea,-0.128,2024-06-28 02:33:10.563936
South Korea’s military says North Korea’s latest missile test likely ended in failure,-0.5106,2024-06-28 02:36:32.248115
Kim's North Korea Is Executing More Young People in Public,0.0,2024-06-28 02:36:32.253229
"‘Soul Mate’ Gay Romance Between Korean and Japanese Men, Set at Netflix",0.5574,2024-06-28 02:36:32.253229
North Korea convenes key party meeting after Putin's visit,0.4019,2024-06-28 02:36:32.253229
‘You can’t see this in Shanghai’: BTS-loving Chinese tourists flock to S Korea,0.0,2024-06-28 02:36:32.253229
"Report to Congress on U.S., South Korea Relations - USNI News",0.0,2024-06-28 02:36:32.253229
North Korea publicly executed man for listening to K-pop,0.0,2024-06-28 02:36:32.258231
Port of Seattle Advances International Trade and Information Sharing with South Korean Agency KOSME,0.4215,2024-06-28 02:36:32.258231
Top UN official calls for strict compliance with sanctions on DPR Korea,0.2023,2024-06-28 02:36:32.258231
North Korea executes man for listening to 70 K-pop songs: Report,0.0,2024-06-28 02:36:32.258231
Cozying Up to North Korea Means Diplomatic Sacrifices for Putin,0.0,2024-06-28 15:09:24.892150
"US, allies warn of North Korea-Russia military cooperation",-0.1027,2024-06-28 15:09:24.892150
