title                                                                                                                                               datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
UN Declares 2025 International Year of Quantum Science and Technology                                                                               2024-06-07 13:06:43.358900   news.google.com/articles/CBMib2h0dHBzOi8vdGhlcXVhbnR1bWluc2lkZXIuY29tLzIwMjQvMDYvMDcvdW4tZGVjbGFyZXMtMjAyNS1pbnRlcm5hdGlvbmFsLXllYXItb2YtcXVhbnR1bS1zY2llbmNlLWFuZC10ZWNobm9sb2d5L9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                   
Book Review: Sebastian Junger's 'In My Time Of Dying'                                                                                               2024-06-07 13:06:43.358900   news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvcmViZWNjYWNvZmZleS8yMDI0LzA2LzA2L2Jvb2stcmV2aWV3LXNlYmFzdGlhbi1qdW5nZXJzLWluLW15LXRpbWUtb2YtZHlpbmcv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                             
Quantum internet breakthrough after 'quantum data' transmitted through standard fiber optic cable for 1st time                                      2024-06-07 13:06:43.358900   news.google.com/articles/CBMinQFodHRwczovL3d3dy5saXZlc2NpZW5jZS5jb20vdGVjaG5vbG9neS9jb21wdXRpbmcvcXVhbnR1bS1pbnRlcm5ldC1icmVha3Rocm91Z2gtYWZ0ZXItcXVhbnR1bS1kYXRhLXRyYW5zbWl0dGVkLXRocm91Z2gtc3RhbmRhcmQtZmliZXItb3B0aWMtY2FibGUtZm9yLTFzdC10aW1l0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                     
United Nations proclaims 2025 as the International Year of Quantum Science and Technology | Institute for Quantum ...                               2024-06-07 13:06:43.358900   news.google.com/articles/CBMicmh0dHBzOi8vdXdhdGVybG9vLmNhL2luc3RpdHV0ZS1mb3ItcXVhbnR1bS1jb21wdXRpbmcvbmV3cy91bml0ZWQtbmF0aW9ucy1wcm9jbGFpbXMtMjAyNS1pbnRlcm5hdGlvbmFsLXllYXItcXVhbnR1bdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                               
Google Quantum AI Team Demystifies Quantum Computing & Its Future Potential                                                                         2024-06-07 13:06:43.364080   news.google.com/articles/CBMic2h0dHBzOi8vdGhlcXVhbnR1bWluc2lkZXIuY29tLzIwMjQvMDYvMDcvZ29vZ2xlLXF1YW50dW0tYWktdGVhbS1kZW15c3RpZmllcy1xdWFudHVtLWNvbXB1dGluZy1pdHMtZnV0dXJlLXBvdGVudGlhbC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                              
Superposition Guy's Podcast -- Lisa Lambert, CEO of Quantum Industry Canada The Superposition Guy's Podcast ...                                     2024-06-07 13:06:43.364080   news.google.com/articles/CBMicGh0dHBzOi8vdGhlcXVhbnR1bWluc2lkZXIuY29tLzIwMjQvMDYvMDcvc3VwZXJwb3NpdGlvbi1ndXlzLXBvZGNhc3QtbGlzYS1sYW1iZXJ0LWNlby1vZi1xdWFudHVtLWluZHVzdHJ5LWNhbmFkYS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                  
Mapping noise to improve quantum measurements                                                                                                       2024-06-07 13:06:43.364080   news.google.com/articles/CBMiMGh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LW5vaXNlLXF1YW50dW0uaHRtbNIBL2h0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LW5vaXNlLXF1YW50dW0uYW1w?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                         
Quantum chemistry and simulation help characterize coordination complex of elusive element 61                                                       2024-06-07 13:06:43.364080   news.google.com/articles/CBMiVGh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXF1YW50dW0tY2hlbWlzdHJ5LXNpbXVsYXRpb24tY2hhcmFjdGVyaXplLWNvbXBsZXguaHRtbNIBU2h0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXF1YW50dW0tY2hlbWlzdHJ5LXNpbXVsYXRpb24tY2hhcmFjdGVyaXplLWNvbXBsZXguYW1w?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                         
The United Nations Proclaims 2025 as the International Year of Quantum Science and Technology                                                       2024-06-07 13:06:43.366610   news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmFwcy5vcmcvYWJvdXQvbmV3cy8yMDI0LzA2L3VuaXRlZC1uYXRpb25zLTIwMjUtaXlx0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                     
