neg,neu,pos,compound,datetime
0.0,0.769,0.231,0.4019,2024-06-01 18:08:59.839672
0.0,1.0,0.0,0.0,2024-06-01 18:08:59.849790
0.223,0.777,0.0,-0.3182,2024-06-01 18:08:59.849790
0.0,1.0,0.0,0.0,2024-06-03 15:00:16.904936
0.0,0.769,0.231,0.2023,2024-06-03 15:00:16.910991
0.0,0.561,0.439,0.5719,2024-06-03 18:08:59.844674
0.15,0.85,0.0,-0.3182,2024-06-03 18:08:59.844674
0.0,0.769,0.231,0.2732,2024-06-03 18:08:59.852958
0.0,1.0,0.0,0.0,2024-06-03 18:08:59.852958
0.0,1.0,0.0,0.0,2024-06-03 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-03 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-03 18:12:36.863788
0.0,0.722,0.278,0.4019,2024-06-03 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-03 18:12:36.873828
0.0,0.833,0.167,0.25,2024-06-03 18:12:36.873828
0.0,0.775,0.225,0.4939,2024-06-03 18:12:36.873828
0.0,0.672,0.328,0.5994,2024-06-04 15:00:16.908992
0.0,1.0,0.0,0.0,2024-06-04 15:00:16.911991
0.351,0.649,0.0,-0.4019,2024-06-04 18:08:59.844674
0.0,1.0,0.0,0.0,2024-06-04 18:08:59.852958
0.0,1.0,0.0,0.0,2024-06-04 18:08:59.852958
0.0,0.667,0.333,0.5423,2024-06-04 18:08:59.852958
0.0,1.0,0.0,0.0,2024-06-04 18:12:36.863680
0.167,0.833,0.0,-0.2023,2024-06-04 18:12:36.863788
0.0,0.862,0.138,0.1531,2024-06-04 18:12:36.869824
0.0,1.0,0.0,0.0,2024-06-04 18:12:36.873828
0.0,0.792,0.208,0.2732,2024-06-04 18:12:36.873828
0.0,1.0,0.0,0.0,2024-06-04 18:12:36.873828
0.0,1.0,0.0,0.0,2024-06-05 18:08:59.852958
0.0,0.814,0.186,0.1531,2024-06-05 18:12:36.859079
0.0,0.548,0.452,0.765,2024-06-05 18:12:36.863788
0.0,0.891,0.109,0.0258,2024-06-05 18:12:36.869824
0.0,0.824,0.176,0.4588,2024-06-05 18:12:36.869824
0.0,1.0,0.0,0.0,2024-06-05 18:12:36.869824
0.0,0.676,0.324,0.34,2024-06-06 18:08:59.849790
0.084,0.779,0.136,0.2023,2024-06-06 18:12:36.859079
0.286,0.714,0.0,-0.5574,2024-06-06 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.863788
0.0,0.827,0.173,0.3182,2024-06-06 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.863788
0.0,0.671,0.329,0.5994,2024-06-06 18:12:36.869824
0.187,0.813,0.0,-0.3182,2024-06-06 18:12:36.869824
0.0,0.777,0.223,0.3182,2024-06-06 18:12:36.869824
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.873828
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.873828
0.0,1.0,0.0,0.0,2024-06-06 18:12:36.873828
0.142,0.474,0.384,0.5574,2024-06-06 18:12:36.873828
0.0,1.0,0.0,0.0,2024-06-07 13:06:43.373729
0.0,0.758,0.242,0.4939,2024-06-07 13:06:43.373729
0.0,1.0,0.0,0.0,2024-06-07 18:12:36.859079
0.0,0.851,0.149,0.4215,2024-06-07 18:12:36.859079
0.0,0.633,0.367,0.4404,2024-06-07 18:12:36.863788
0.0,0.803,0.197,0.4019,2024-06-07 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-07 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-07 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-07 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-07 18:12:36.863788
0.0,0.823,0.177,0.4215,2024-06-07 18:12:36.869824
0.0,0.496,0.504,0.7269,2024-06-08 18:12:36.863788
0.0,1.0,0.0,0.0,2024-06-09 13:06:23.504954
0.0,0.882,0.118,0.1531,2024-06-09 13:06:43.366610
0.207,0.631,0.162,-0.128,2024-06-10 13:06:43.373729
0.33,0.67,0.0,-0.7096,2024-06-10 13:06:43.373729
0.0,1.0,0.0,0.0,2024-06-10 13:06:43.373729
0.0,1.0,0.0,0.0,2024-06-10 13:06:43.373729
0.224,0.424,0.352,0.2732,2024-06-10 15:00:16.911991
0.0,1.0,0.0,0.0,2024-06-10 18:12:36.859079
0.0,1.0,0.0,0.0,2024-06-10 18:12:36.859079
0.0,0.764,0.236,0.4754,2024-06-10 18:12:36.863788
0.0,0.796,0.204,0.3182,2024-06-10 18:12:36.863788
0.286,0.714,0.0,-0.4939,2024-06-10 18:12:36.868946
0.0,0.843,0.157,0.4215,2024-06-10 18:12:36.869824
0.0,1.0,0.0,0.0,2024-06-10 18:12:36.869824
0.0,1.0,0.0,0.0,2024-06-10 18:12:36.873828
