title,datetime,link
Female CEOs Outearn Male Counterparts In S&P 500 Companies,2024-06-06 14:54:57.838245,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMva2ltZWxzZXNzZXIvMjAyNC8wNi8wNS9mZW1hbGUtY2Vvcy1vdXRlYXJuLW1hbGUtY291bnRlcnBhcnRzLWluLXNwLTUwMC1jb21wYW5pZXMv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
"The S&P 500, Dow and Nasdaq Since Their 2000 Highs",2024-06-06 14:54:57.843357,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmFkdmlzb3JwZXJzcGVjdGl2ZXMuY29tL2RzaG9ydC91cGRhdGVzLzIwMjQvMDYvMDYvdGhlLXMtcC01MDAtZG93LWFuZC1uYXNkYXEtc2luY2UtdGhlaXItMjAwMC1oaWdoc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Stock Market News From June 5, 2024: S&P 500, Nasdaq Close at Record Highs; Dow Finishes Up; HP Enterprise ...",2024-06-06 14:54:57.858498,news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2xpdmVjb3ZlcmFnZS9zdG9jay1tYXJrZXQtdG9kYXktMDYwNTI00gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
"S&P 500, Nasdaq close slightly down ahead of US payrolls data",2024-06-06 14:54:57.863125,news.google.com/articles/CBMiUmh0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy9mdXR1cmVzLXN1YmR1ZWQtdGVjaC1yYWxseS1udmlkaWEtMTAyODE4NjI1Lmh0bWzSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
"CrowdStrike, KKR, GoDaddy to join benchmark S&P 500",2024-06-07 14:54:57.838245,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2ZpbmFuY2UvY3Jvd2RzdHJpa2Uta2tyLWdvZGFkZHktam9pbi1iZW5jaG1hcmstc3AtNTAwLTIwMjQtMDYtMDcv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
"CrowdStrike, KKR and GoDaddy to join S&P 500",2024-06-07 14:54:57.847164,news.google.com/articles/CBMiVmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9jcm93ZHN0cmlrZS1ra3ItYW5kLWdvZGFkZHktdG8tam9pbi1zLXAtNTAwLTg1ZDk3NGY50gFaaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9jcm93ZHN0cmlrZS1ra3ItYW5kLWdvZGFkZHktdG8tam9pbi1zLXAtNTAwLTg1ZDk3NGY5?hl=en-CA&gl=CA&ceid=CA%3Aen
Retail traders push India stock option volumes above S&P 500,2024-06-07 14:54:57.851089,news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2QxZGFmNzc3LWQxMGMtNDRkOC1iNTcwLTQ2MmY2YzQxMjJlYtIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
S&P 500 Slips After Surprisingly Strong Jobs Data,2024-06-07 14:54:57.858498,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lndzai5jb20vZmluYW5jZS9zdG9ja3MvZ2xvYmFsLXN0b2Nrcy1tYXJrZXRzLWRvdy1uZXdzLTA2LTA3LTIwMjQtYjU1NGQ1OTDSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
The S&P 500 is reshuffling: Here are the stocks joining the index—and the stocks getting booted,2024-06-08 14:54:57.834944,news.google.com/articles/CBMicWh0dHBzOi8vZm9ydHVuZS5jb20vMjAyNC8wNi8wOC9zcDUwMC1yZWJhbGFuY2Utc3RvY2staW5kZXgta2tyLWNyb3dkc3RyaWtlLWdvZGFkZHktY29tZXJpY2EtaWxsdW1pbmEtcm9iZXJ0LWhhbGYv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
S&P 500 is giving a ‘buy’ signal and there’s strong support for a summer rally,2024-06-08 14:54:57.838245,news.google.com/articles/CBMid2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS95b3VyLXN1bW1lci1zdG9jay1tYXJrZXQtcmFsbHktaXMtY29taW5nLWFzLXRoZS1zLXAtNTAwLWZsYXNoZXMtYS1idXktc2lnbmFsLWNiYTlmZWNj0gF7aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS95b3VyLXN1bW1lci1zdG9jay1tYXJrZXQtcmFsbHktaXMtY29taW5nLWFzLXRoZS1zLXAtNTAwLWZsYXNoZXMtYS1idXktc2lnbmFsLWNiYTlmZWNj?hl=en-CA&gl=CA&ceid=CA%3Aen
Should You Invest in the S&P 500 At Its All-Time High? Here's What History Says,2024-06-09 14:54:57.851089,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDI0LzA2LzA5L3Nob3VsZC15b3UtaW52ZXN0LWluLXNwLTUwMC1hdC1hbGwtdGltZS1oaWdoL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"The S&P 500 is crushing diversified funds. So if you didn't bet big on the U.S. stock index, 'then you look like a moron ...",2024-06-10 14:54:57.843357,news.google.com/articles/CBMibGh0dHBzOi8vZm9ydHVuZS5jb20vMjAyNC8wNi8xMC9zcDUwMC12cy1kaXZlcnNpZmllZC1mdW5kcy1vdXRwZXJmb3JtYW5jZS1udmlkaWEtdGVjaC1zdG9ja3MtbWFya2V0LXN0cmF0ZWd5L9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"S&P 500: CrowdStrike, KKR, GoDaddy To Join Index In Quarterly Rebalance; Stocks Jump",2024-06-10 14:54:57.848285,news.google.com/articles/CBMiUmh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy9zcC01MDAtY3Jvd2RzdHJpa2Uta2tyLWdvZGFkZHktcXVhcnRlcmx5LXJlYmFsYW5jZS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
A ‘generational opportunity’ could see Nvidia become 15% of the S&P 500,2024-06-10 14:54:57.851089,news.google.com/articles/CBMidWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9hLWdlbmVyYXRpb25hbC1vcHBvcnR1bml0eS1pbi1udmlkaWEtY291bGQtc2VlLWl0LWJlY29tZS0xNS1vZi10aGUtcy1wLTUwMC1jNGFiY2JjM9IBeWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvYS1nZW5lcmF0aW9uYWwtb3Bwb3J0dW5pdHktaW4tbnZpZGlhLWNvdWxkLXNlZS1pdC1iZWNvbWUtMTUtb2YtdGhlLXMtcC01MDAtYzRhYmNiYzM?hl=en-CA&gl=CA&ceid=CA%3Aen
"KKR, CrowdStrike, and GoDaddy Gain on S&P 500 Inclusion",2024-06-10 14:54:57.851089,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20va2tyLWNyb3dkc3RyaWtlLWFuZC1nb2RhZGR5LWdhaW4tb24tcy1hbmQtcC01MDAtaW5jbHVzaW9uLTg2NjA2OTbSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
RBC's Calvasina sees risk of S&P 500 sinking 8% if no Fed cut,2024-06-10 14:54:57.851089,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmJubmJsb29tYmVyZy5jYS9yYmMtcy1jYWx2YXNpbmEtc2Vlcy1yaXNrLW9mLXMtcC01MDAtc2lua2luZy04LWlmLW5vLWZlZC1jdXQtMS4yMDgzMDYz0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Stock market today: S&P 500 and Nasdaq close at record highs ahead of Fed meeting, May inflation report",2024-06-10 14:54:57.858498,news.google.com/articles/CBMiSWh0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy9zdG9jay1tYXJrZXQtdG9kYXktcC01MDAtMDQxMDQ0MTIyLmh0bWzSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
KKR & 2 More Stocks to Join S&P 500 Index Post Rebalancing,2024-06-10 14:54:57.858498,news.google.com/articles/CBMiRGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9ra3ItMi1tb3JlLXN0b2Nrcy1qb2luLTE2NDMwMDg5MS5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
Apollo and 3 More Stocks That Could Be Added to the S&P 500 Next,2024-06-10 14:54:57.863125,news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL3NwLTUwMC1uZXh0LWFkZHMtYWNkY2Y0MmXSAT5odHRwczovL3d3dy5iYXJyb25zLmNvbS9hbXAvYXJ0aWNsZXMvc3AtNTAwLW5leHQtYWRkcy1hY2RjZjQyZQ?hl=en-CA&gl=CA&ceid=CA%3Aen
CrowdStrike Stock Price Jumps After Addition To S&P 500,2024-06-10 14:54:57.867239,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9zZWN1cml0eS8yMDI0L2Nyb3dkc3RyaWtlLXN0b2NrLXByaWNlLWp1bXBzLWFmdGVyLWFkZGl0aW9uLXRvLXMtcC01MDDSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Hey, Canadian Investors: You Can Do Better Than the S&P 500. Buy This ETF Instead",2024-06-11 14:54:57.858498,news.google.com/articles/CBMiUGh0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy9oZXktY2FuYWRpYW4taW52ZXN0b3JzLWJldHRlci1wLTEzMzAwMDU4MC5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
