title,compound,datetime
Female CEOs Outearn Male Counterparts In S&P 500 Companies,0.0,2024-06-06 14:54:57.838245
"Stock Market News From June 5, 2024: S&P 500, Nasdaq Close at Record Highs; Dow Finishes Up; HP Enterprise ...",0.0,2024-06-06 14:54:57.858498
"S&P 500, Nasdaq close slightly down ahead of US payrolls data",0.0,2024-06-06 14:54:57.863125
"CrowdStrike, KKR, GoDaddy to join benchmark S&P 500",0.296,2024-06-07 14:54:57.838245
"CrowdStrike, KKR and GoDaddy to join S&P 500",0.296,2024-06-07 14:54:57.847164
Retail traders push India stock option volumes above S&P 500,0.0,2024-06-07 14:54:57.851089
S&P 500 Slips After Surprisingly Strong Jobs Data,0.6705,2024-06-07 14:54:57.858498
The S&P 500 is reshuffling: Here are the stocks joining the index—and the stocks getting booted,0.0,2024-06-08 14:54:57.834944
S&P 500 is giving a ‘buy’ signal and there’s strong support for a summer rally,0.8126,2024-06-08 14:54:57.838245
Should You Invest in the S&P 500 At Its All-Time High? Here's What History Says,0.0,2024-06-09 14:54:57.851089
"The S&P 500 is crushing diversified funds. So if you didn't bet big on the U.S. stock index, 'then you look like a moron ...",-0.4939,2024-06-10 14:54:57.843357
"S&P 500: CrowdStrike, KKR, GoDaddy To Join Index In Quarterly Rebalance; Stocks Jump",0.296,2024-06-10 14:54:57.848285
RBC's Calvasina sees risk of S&P 500 sinking 8% if no Fed cut,-0.6597,2024-06-10 14:54:57.851089
A ‘generational opportunity’ could see Nvidia become 15% of the S&P 500,0.0,2024-06-10 14:54:57.851089
"KKR, CrowdStrike, and GoDaddy Gain on S&P 500 Inclusion",0.5267,2024-06-10 14:54:57.851089
"Stock market today: S&P 500 and Nasdaq close at record highs ahead of Fed meeting, May inflation report",0.0,2024-06-10 14:54:57.858498
KKR & 2 More Stocks to Join S&P 500 Index Post Rebalancing,0.3535,2024-06-10 14:54:57.858498
Apollo and 3 More Stocks That Could Be Added to the S&P 500 Next,0.0,2024-06-10 14:54:57.863125
CrowdStrike Stock Price Jumps After Addition To S&P 500,0.0,2024-06-10 14:54:57.867239
"Hey, Canadian Investors: You Can Do Better Than the S&P 500. Buy This ETF Instead",0.4404,2024-06-11 14:54:57.858498
S&P 500 and Nasdaq 100 Post Record Highs as Apple Soars,0.0,2024-06-11 14:56:16.060062
"Stock Market News From June 11, 2024: Nasdaq Composite, S&P 500 Mark Record Closes After Fed Meeting Kicks Off ...",0.0,2024-06-11 14:56:16.067591
"Nasdaq, S&P 500 post record closing highs as Apple soars",0.0,2024-06-11 14:56:16.067591
"S&P 500 Extends Record Ahead of Inflation Data, Fed Meeting",0.128,2024-06-11 14:56:16.067591
"S&P 500, Nasdaq notch record closing highs ahead of CPI, Fed decision",0.0,2024-06-11 14:56:16.067591
S&P 500 Index: What It's for and Why It's Important in Investing,0.2023,2024-06-12 14:56:16.057804
Apple drives S&P 500 and Nasdaq to new records,0.0,2024-06-12 14:56:16.059334
"Stock Market News From June 12, 2024: Dow Slides After Fed Decision; CPI Report; Apple, Nvidia, Tesla, Alphabet ...",0.0,2024-06-12 14:56:16.060062
Cool CPI Inflation Boosts Fed Rate-Cut Odds; S&P 500 Jumps On Tame Service Prices,0.5574,2024-06-12 14:56:16.067591
S&P 500 Hits Fresh High After Cooler Inflation Data,0.3182,2024-06-12 14:56:16.067591
S&P 500 Will Hit New Highs Despite Hawkish Fed: Bloomberg Survey,0.0,2024-06-12 14:56:16.067591
Is SPY Stock A Buy Right Now? What To Know About World's Top Index,0.2023,2024-06-13 14:56:16.057804
S&P 500 Hits 5400 Level: 5 Top-Performing Stocks in ETF,0.0,2024-06-13 14:56:16.060062
Markets today: S&P 500 notches its fourth straight all-time high,0.2263,2024-06-13 14:56:16.060062
"Nasdaq, S&P 500 post all-time closing highs for 4th day as tech boosts",0.3182,2024-06-13 14:56:16.060062
"S&P 500 posts its fourth straight record close, buoyed by cooler inflation data: Live updates",0.2263,2024-06-13 14:56:16.067591
S&P 500 Gains and Losses Today: Broadcom Stock Soars After AI-Driven Revenue Beat,-0.0772,2024-06-13 14:56:16.067591
The Dow signals ’major yikes’ moment as it lags behind the S&P 500 rally,-0.3612,2024-06-13 14:56:16.067591
"Markets News, June 13, 2024: Tech Rally Propels S&P 500 to Fourth Straight Record",0.2263,2024-06-13 14:56:16.067591
"Stock Market News From June 13, 2024: Dow Falls; Musk Tesla Pay Vote; Apple, Broadcom, Nvidia, GameStop, and ...",-0.1027,2024-06-13 14:56:16.067591
"1 Stock That Should Safely Outpace the S&P 500, According to Warren Buffett",0.4939,2024-06-14 14:56:16.067591
Stock market outlook: Forecasts rise further as S&P 500 tops year-end targets,0.5106,2024-06-15 14:56:16.060062
"Nvidia stock accounts for more than a third of the S&P 500's gains this year—and it's a big risk for investors, top ...",0.2732,2024-06-15 14:56:16.060062
Stock buyers are keeping S&P 500 momentum strong and volatility low — for now,0.296,2024-06-15 14:56:16.067591
"Stock Market Today: Dow, S&P Live Updates for June 17",0.0,2024-06-16 14:54:57.851089
"Top Wall Street bear surrenders to bull market and flips forecast, now seeing the S&P 500 soaring to 6000 by year-end",0.2023,2024-06-16 14:56:16.060062
Goldman Sachs Raises Year-End Target For S&P 500 Index,0.0,2024-06-17 14:55:54.907683
"S&P 500: Tesla, Broadcom Among Winners Monday. First Solar Leads Losers.",-0.0772,2024-06-17 14:55:54.918242
Goldman Sachs ups its S&P 500 target a third time,0.0,2024-06-17 14:55:54.919273
The Big Trade Underneath the Strangely Calm Surface of the S&P 500,0.0258,2024-06-17 14:55:54.920270
"Dow, S&P 500 Futures Are Falling to Start the Week",-0.1531,2024-06-17 14:55:54.920270
"US stock market: Another record closing for Nasdaq, S&P 500 a tech shares zoom",0.296,2024-06-17 14:55:54.921270
"S&P 500, Nasdaq holding near record highs - Video - BNN",0.0,2024-06-17 14:56:16.060062
S&P 500 Will Gain Further 3% This Year As Breadth Strengthens: Goldman,0.7506,2024-06-17 14:56:16.060062
Goldman Sachs lifts target predictions for S&P 500 in 2024,0.0,2024-06-17 14:56:16.060062
Morgan Stanley Stock Is Trailing The S&P 500 Index By 12% YTD. Here's What To Expect,0.0,2024-06-17 14:56:16.060062
S&P 500 Hits 30th Record of 2024 as Megacaps Rally: Markets Wrap,0.0,2024-06-17 14:56:16.067591
"Stock Market News for Monday, June 17, 2024: Stocks Rise. The S&P 500 and Nasdaq Set New Records",0.0,2024-06-17 14:56:16.067591
S&P 500 Boosted Stock Buybacks by 10% in Q1,0.3612,2024-06-17 14:56:16.067591
5 Stocks to Buy as S&P 500's Bull Run Continues,0.0,2024-06-18 14:54:57.851089
"DJIA, S&P 500, Nasdaq 100 Analysis: Papa Dow Diverges from SPX and NDX",0.0,2024-06-18 14:54:57.863125
"Meet the Newest Artificial Intelligence (AI) Stock in the S&P 500. It's Up 266% Since Last Year, and Wall Street Says It's ...",0.4767,2024-06-18 14:55:54.914704
Nvidia Powers S&P 500 to New Record,0.0,2024-06-18 14:55:54.917704
"Nasdaq 100, S&P 500 Take a Breath as US Retail Sales Disappoints",-0.3818,2024-06-18 14:55:54.919273
"Forbes Daily: S&P 500 Forecasts Rise As Apple, Microsoft Drive Boost",0.4019,2024-06-18 14:55:54.920270
Is the Vanguard S&P 500 ETF a Millionaire Maker?,0.0,2024-06-18 14:55:54.920270
"Stock Market Today: Dow, S&P Live Updates for June 19",0.0,2024-06-18 14:55:54.921270
Stock market today: S&P 500 closes at fresh record high as Nvidia becomes world's biggest company,0.3182,2024-06-18 14:56:16.060062
"S&P 500, Nasdaq ride AI wave to end at record highs; TSX breaks three-day losing streak",-0.3818,2024-06-18 14:56:16.060062
5 Technology Stocks Powering S&P 500 ETF This Year,0.0,2024-06-18 14:56:16.067591
Markets today: European stocks struggle to build on U.S. tech rally,-0.3182,2024-06-18 14:56:16.067591
Micron Stock Is S&P 500’s Top Performer Ahead of Earnings. Here’s Why.,0.2023,2024-06-18 14:56:16.067591
Stock market today: Stocks zoom higher as S&P 500 notches 30th record close of 2024,0.0,2024-06-18 14:56:16.067591
The S&P 500 broke yet another record,-0.4215,2024-06-18 14:56:16.067591
"Stock Market News for Tuesday July 18: Dow Closes Up; Nvidia, Broadcom, Tesla, GameStop, and More Movers ...",0.0,2024-06-19 14:55:54.921270
What are the best stocks right now?,0.6369,2024-06-19 14:56:16.067591
This Income Stock Has Outperformed The S&P 500 For Over A Decade,0.0,2024-06-20 14:55:54.917704
S&P 500 Gains and Losses Today: Index Dips After Briefly Crossing 5500,-0.0772,2024-06-20 14:55:54.918242
Be careful what you wish for: The S&P 500 typically falls after the first rate cut,0.296,2024-06-20 14:55:54.919273
Is the Vanguard S&P 500 ETF Still a Buy?,0.0,2024-06-20 14:55:54.919273
"S&P 500 Index (SPX) Poised to Reach 6,000 This Year Before Big Drop, Stifel Says",-0.0,2024-06-20 14:56:16.059334
S&P 500 and Nasdaq 100 Fall from Record Highs as Chip Stocks Retreat,0.2023,2024-06-20 14:56:16.060062
"S&P 500 crosses 5,500 for the first time - Video - BNN",0.0,2024-06-20 14:56:16.060062
S&P 500 & Nasdaq 100 Week Ahead: Is It Time for a Deeper Retracement as US Investors Shed Equity Funds…?,0.0,2024-06-21 14:55:54.918242
5 Must-Buy S&P 500 Stocks at 52-Week High With Room to Run,0.0,2024-06-21 14:55:54.920270
Stock Market News From Thursday June 20: Dow Gains; Super Micro and More Movers; Jobless Claims Fall; Housing ...,0.743,2024-06-21 14:56:16.060062
S&P 500 Gains and Losses Today: Index Edges Lower as AI-Fueled Rally Loses Steam,-0.5859,2024-06-21 14:56:16.067591
How AI Could Help the S&P 500 Climb 10%,0.4019,2024-06-21 14:56:16.067591
"Bitcoin's recent weakness signals an imminent S&P 500 correction, according to Stifel",-0.4215,2024-06-21 14:56:16.067591
Street Earnings Understated For 29% Of S&P 500 In 1Q24,0.0,2024-06-21 14:56:38.217991
Closing Bell: BMO S&P 500 Hedged CAD ETF down on Friday (ZUE),0.0,2024-06-21 14:56:38.225037
"Stock Market News, June 21, 2024: S&P 500 Books Third Straight Weekly Gain",0.6486,2024-06-21 14:56:38.227896
S&P 500 Today: Track S&P Prices And Stocks To Watch,0.0,2024-06-21 14:56:38.227896
"S&P 500, Nasdaq post record closing highs; Fed meeting, CPI ahead",0.0,2024-06-22 14:56:38.225037
NVIDIA Takes The Throne: Is This A Tech Bubble?,0.0,2024-06-23 14:56:59.269932
Tech Titans Propel S&P 500 To Double-Digit Gains In 2023,0.34,2024-06-23 14:56:59.277551
"3 ETF Investing Strategies to Use As S&P 500, Nasdaq 100 Become Risky",-0.2023,2024-06-23 14:56:59.277551
These ETFs have beaten the S&P 500 for five years and are ahead in 2024 too,-0.4215,2024-06-24 14:56:59.267387
CrowdStrike Listed on S&P 500,0.0,2024-06-24 14:56:59.269932
"Nvidia falls for third day, S&P 500 follows: Market Takeaway",0.0,2024-06-24 14:56:59.269932
"Nvidia Pulls S&P 500, Nasdaq Lower - WSJ",-0.296,2024-06-24 14:56:59.269932
"Dow closes more than 250 points higher as investors snap up energy and bank stocks, Nvidia slides 6%: Live updates",0.2732,2024-06-24 14:56:59.270993
"Stock Market News for Monday, June 24, 2024: Dow Rises; Nvidia, Apple, Meta, Tesla, ResMed, and More Movers ...",0.0,2024-06-24 14:56:59.270993
"Nvidia's stock market value topped $3.3 trillion. How it became No. 1 in the S&P 500, by the numbers",0.0516,2024-06-24 14:56:59.270993
